1,20160914060000,33000,Ciclismo de ruta,ND,AMCO
1,20160914113000,23000,Ciclismo de ruta,ND,AMCO
1,20160914153000,40000,Natación,ND,AMCO
2,20160914080000,13000,Levantamiento de potencia (Varonil),107-Kg,AMCO
2,20160914133000,14500,Baloncesto en silla de ruedas (Varonil),Cuartos de Final,AMCO
2,20160914153000,30000,Atletismo,ND,AMCO
3,20160914080000,30000,Atletismo,ND,AMCO
3,20160914110000,13000,Levantamiento de potencia (Femenil),86-Kg,AMCO
3,20160914130000,43000,Tiro con arco (Varonil),1/4 de Final / Seminfinal / Bronce / Oro,AMCO
4,20160914150000,3000,Rio Suena,ND,AMCO
4,20160914210000,10000,Rio Suena,ND,AMCO
