1,20160916073000,20000,Ciclismo de ruta,Var: C1 C2 C3 - Fem C1 C2 C3,AMCO
1,20160916110000,13000,Ciclismo de ruta,Var T1-2 / Fem T1-2,AMCO
1,20160916130000,13000,Ciclismo Equipos Mixto,H2-5,AMCO
1,20160916153000,41500,Natación,ND,AMCO
2,20160916080000,30000,Atletismo,ND,AMCO
2,20160916113000,10000,Goalball (Varonil),Bronce,AMCO
2,20160916130000,10000,Goalball (Femenil),Bronce,AMCO
2,20160916153000,23000,Baloncesto en silla de ruedas (Femenil),Oro,AMCO
2,20160916180000,10000,Goalball (Varonil),Oro,AMCO
3,20160916070000,24500,Ecuestre,Grade lll - lV,AMCO
3,20160916100000,50000,Tenis,ND,AMCO
3,20160916153000,30000,Atletismo,ND,AMCO
3,20160916183000,13000,Voleibol sentado (Varonil),Semifinal 02,AMCO
4,20160916150000,10000,Rio Suena,ND,AMCO
4,20160916210000,10000,Rio Suena,ND,AMCO
