1,20160917080000,22000,Atletismo,ND,AMCO
1,20160917120000,10000,Fútbol a 5,Bronce,AMCO
1,20160917153000,40000,Natación,ND,AMCO
2,20160917073000,30000,Ciclismo de ruta,Var C4-5/Fem C4-5,AMCO
2,20160917110000,33000,Ciclismo de ruta,Var B / Fem B,AMCO
2,20160917153000,30000,Atletismo,ND,AMCO
3,20160917073000,24500,Natación,ND,AMCO
3,20160917104500,13000,Rugby en silla de ruedas ,Semininal 01,AMCO
3,20160917150000,13000,Fútbol a 5,Oro,AMCO
3,20160917163000,21500,Baloncesto en silla de ruedas (Femenil),Oro,AMCO
4,20160917140000,3000,Rio Suena,ND,AMCO
4,20160917210000,10000,Rio Suena,ND,AMCO
